"AFID1","AFID2","LCS-SIM(JNAME1 JNAME2)","EXIST-P(JNAME1 JNAME2)","EXACT-MATCH(JNAME1 JNAME2)","LCS(JNAME1 JNAME2)","LEVENSHTEIN(JNAME1 JNAME2)","DIFF-LENGTH(JNAME1 JNAME2)","VARIANTS-AND-CONFUSIONS(JNAME1 JNAME2)","UNKNOWN-CHAR(JNAME1 JNAME2)","LCS-SIM(ENAME1 ENAME2)","EXIST-P(ENAME1 ENAME2)","EXACT-MATCH(ENAME1 ENAME2)","INITIAL-MATCH(ENAME1 ENAME2)","LCS(ENAME1 ENAME2)","LEVENSHTEIN(ENAME1 ENAME2)","DIFF-LENGTH(ENAME1 ENAME2)","LCS-SIM(JAFF1 JAFF2)","EXIST-P(JAFF1 JAFF2)","EXACT-MATCH(JAFF1 JAFF2)","LCS-SIM(EAFF1 EAFF2)","EXIST-P(EAFF1 EAFF2)","EXACT-MATCH(EAFF1 EAFF2)","COAUTHER-MATCH(CO-AUTHOR1 CO-AUTHOR2)","COUNT-COAUTHER(CO-AUTHOR1 CO-AUTHOR2)","CLASS"
"B-80016895675-1-jic","B-80016927163-1-jic",-0.9157091410115198d0,0,0,-0.6843444359337079d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,1.1232759001427763d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.08388261226073132d0,1
"B-80016205629-2-jic","B-80016660373-3-jic",-0.9157091410115198d0,0,0,-0.6843444359337079d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,-0.4283770935916174d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,1.4952223818577364d0,1
"B-80016590395-2-jic","B-80016642937-2-jic",0.8339125387752425d0,0,1,-0.6843444359337079d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,-2.2626189709336444d0,0,0,0,-1.2042035904588142d0,1.3248800536857264d0,1.0757800210766584d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.08388261226073132d0,1
"B-80016924676-6-jic","B-80016924671-4-jic",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.9149385161885266d0,0,0,1,-0.1697682613025518d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,0.9688540504849138d0,1
"B-110001346624-7-nels","B-110001360064-3-nels",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.974433021806567d0,0,0,1,0.34744940327557944d0,-0.722080812547675d0,-0.33552628470597157d0,-0.2303238879296634d0,0,0,0.40087668648208835d0,0,0,1,0.9688540504849138d0,1
"B-110002938210-3-cjp","B-10002195730-5-cjp",-0.9157091410115198d0,0,0,-0.6843444359337079d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,0.08884057098651381d0,-1.0632409569199086d0,-0.8059617199668482d0,0.5486001643985278d0,0,0,0.8451382957436235d0,0,1,0,-0.6102509436335539d0,1
"B-10016310967-2-cjp","B-10011064674-1-cjp",-0.5657847216257044d0,0,0,-0.43174649411591065d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,-0.4283770935916174d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.6102509436335539d0,1
"B-10007874967-1-cjp","B-10013820533-1-cjp",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,-0.7376921216407653d0,0,0,1,-0.1697682613025518d0,0.9837199093134928d0,1.546215456337535d0,-0.2303238879296634d0,0,0,0.8017296468345317d0,0,0,1,1.4952223818577364d0,1
"B-10007874967-1-cjp","B-10006182444-1-cjp",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,-0.7376921216407653d0,0,0,1,-0.1697682613025518d0,0.9837199093134928d0,1.546215456337535d0,-0.2303238879296634d0,0,0,0.8017296468345317d0,0,0,1,1.4952223818577364d0,1
"B-80016926453-2-jic","B-80016628046-2-jic",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.7290173716234836d0,0,0,1,0.606058235564645d0,-0.722080812547675d0,-0.8059617199668482d0,-0.8947005178621047d0,0,0,0.8451382957436235d0,0,1,0,-0.08388261226073132d0,1
"B-10011352184-1-cjp","B-10010022905-7-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.8274463223775708d0,0,0,1,1.381884732431842d0,-0.722080812547675d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,0.4424857191120912d0,1
"B-110006646623-2-cjp","B-10005655682-2-cjp",0.8339125387752425d0,0,1,0.07344938951968377d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,1.0636752456671514d0,0,0,1,1.6404935647209076d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.08388261226073132d0,1
"B-110003298995-2-nels","B-110003298992-2-nels",-0.5657847216257044d0,0,0,-0.43174649411591065d0,-0.16260464783760734d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,0.08884057098651381d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.6102509436335539d0,1
"B-10005973471-4-cjp","B-10005290441-3-cjp",-0.5657847216257044d0,0,0,-0.43174649411591065d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,1.381884732431842d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,2.021590713230559d0,1
"B-110001220591-6-nels","B-110002232582-6-nels",0.8339125387752425d0,0,1,0.07344938951968377d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.2856677376251138d0,0,0,1,1.6404935647209076d0,-0.03976052380320786d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.7703152343504108d0,0,0,0,-0.08388261226073132d0,1
"B-110002204860-3-nels","B-110002232582-6-nels",0.8339125387752425d0,0,1,0.07344938951968377d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.2856677376251138d0,0,0,1,1.6404935647209076d0,-0.03976052380320786d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.7703152343504108d0,0,0,0,-0.08388261226073132d0,1
"B-110002204860-3-nels","B-110002221528-4-nels",0.8339125387752425d0,0,1,0.07344938951968377d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,1.0865578194330936d0,0,0,1,2.1577112292990384d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.08388261226073132d0,1
"B-10013972220-5-cjp","B-10005686485-7-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,1.050153936366151d0,0,0,1,1.381884732431842d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,0.4424857191120912d0,1
"B-10017276973-1-cjp","B-10014490791-7-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.7290173716234836d0,0,0,1,0.606058235564645d0,-0.3809206681754414d0,0.1349091505549051d0,0.7662408688693447d0,0,1,0.7064421207330795d0,0,0,0,0.4424857191120912d0,1
"B-10009766284-1-cjp","B-10008590512-5-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,-0.9442706022942838d0,0,0,1,-0.1697682613025518d0,1.3248800536857264d0,2.016650891598412d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,0.9688540504849138d0,1
"B-10009766284-1-cjp","B-10009784109-3-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,-0.9442706022942838d0,0,0,1,-0.1697682613025518d0,1.3248800536857264d0,2.016650891598412d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,0.4424857191120912d0,1
"B-80015465202-3-jic","B-80007951786-3-jic",-0.9157091410115198d0,0,0,-0.6843444359337079d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,1.6404935647209076d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.6102509436335539d0,1
"B-10004914222-3-cjp","B-10016335509-8-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,-0.9442706022942838d0,0,0,1,-0.1697682613025518d0,1.3248800536857264d0,2.016650891598412d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,2.021590713230559d0,1
"B-10020445122-4-cjp","B-10020446746-2-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,1.03488725135076d0,0,0,1,1.1232759001427763d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.08388261226073132d0,1
"B-10010143790-4-cjp","B-10013830742-2-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,-0.5724287785977217d0,0,0,1,-0.6869859258806831d0,0.6425597649412593d0,1.546215456337535d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,2.021590713230559d0,1
"B-10008359701-9-cjp","B-10008359216-9-cjp",-0.5657847216257044d0,0,0,-0.43174649411591065d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,0.08884057098651381d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,8.33801068970443d0,1
"B-10016335108-5-cjp","B-110003856463-1-nels",-0.5657847216257044d0,0,0,-0.43174649411591065d0,-0.16260464783760734d0,-0.3364459233189947d0,0.5510067481676629d0,-0.045934507283447924d0,1.2867803398850886d0,0,1,1,0.606058235564645d0,-1.0632409569199086d0,-0.8059617199668482d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,0.4424857191120912d0,1
"B-80004704339-2-jic","B-80007090184-1-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,-0.44848150403220105d0,0,0,0,-0.9455947581697487d0,-0.3809206681754414d0,-0.8059617199668482d0,4.7549620481972844d-5,1,0,0.8451382957436235d0,0,1,0,-0.6102509436335539d0,-1
"B-110004142001-5-nels","B-110004146793-1-nels",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.5059122774055463d0,0,0,1,-0.4283770935916174d0,-0.722080812547675d0,-0.8059617199668482d0,-1.3376180203508605d0,0,0,0.52921877851555d0,0,0,0,-0.08388261226073132d0,1
