YYYY/MM/DD,CAD/USD,EUR/USD,JPY/USD,GBP/USD,CHF/USD,AUD/USD,HKD/USD,NZD/USD,KRW/USD,MXN/USD
2010/04/19,0.5658389766741909,0.4318985489574438,0.6878479634978444,0.5718804203652685,0.7760741169658365,0.5732092142631743,0.20234113712373442,0.7504091653027826,0.33759842519685024,0.2903563941299789
2010/04/20,0.40406320541760743,0.4358614803072794,0.7371175017790614,0.5235180083664932,0.7819339895773019,0.5268538971284319,0.2341137123745707,0.7250409165302782,0.3366141732283461,0.2508735150244584
2010/04/21,0.4025583145221967,0.4573832459456164,0.7327221733852398,0.5140291806958476,0.7899247249565721,0.538971284316819,0.23913043478260063,0.7389525368248776,0.28641732283464505,0.2358490566037732
2010/04/22,0.4243792325056438,0.4864040970613339,0.7258570890367955,0.5267829813284358,0.805952518818761,0.5510255601136007,0.22742474916386912,0.7364975450081833,0.2903543307086617,0.265897973445143
2010/04/23,0.4349134687735132,0.46433361785148103,0.7752940683996821,0.5287215590245895,0.7981702374059062,0.5573051435784159,0.22408026755852575,0.7089470812875068,0.29183070866141736,0.24388539482879057
2010/04/26,0.4213694507148223,0.47323497134495757,0.76821968269915,0.4842363024181204,0.8006716850028952,0.5415904070684759,0.23244147157189904,0.6606655755591925,0.26968503937007876,0.22781271837875586
2010/04/27,0.5447705041384504,0.5094500670649921,0.7229687303779984,0.5625956535047445,0.8196178343949047,0.579204796465762,0.2458193979933022,0.7294053464266231,0.29872047244094424,0.2672955974842763
2010/04/28,0.5109104589917223,0.5446287038166073,0.7705638578425219,0.619222528313438,0.839235668789809,0.5610287156831807,0.30602006688963146,0.6985815602836879,0.3405511811023616,0.3190076869322147
2010/04/29,0.4552294958615504,0.5051213266674797,0.771108041357947,0.5543311906948274,0.8172553561088594,0.5393183969706531,0.25418060200669035,0.6644844517184944,0.318405511811023,0.2557651991614253
2010/04/30,0.5018811136192628,0.4846360199975611,0.7769266189459586,0.5525966738087953,0.8042385639837871,0.5289996844430422,0.24414715719063054,0.6186579378068742,0.2859251968503935,0.25296995108315806
2010/05/03,0.5154251316779537,0.5261553469089133,0.795010255766252,0.5813692480359143,0.8268905616676318,0.5477437677500786,0.22575250836119742,0.6257501363884344,0.33759842519685024,0.26624737945492616
2010/05/04,0.5771256583897669,0.5775515181075479,0.7901126041274228,0.6289154167942054,0.8546381007527506,0.5959608709372045,0.25250836120400383,0.6642116748499728,0.321850393700787,0.3190076869322147
2010/05/05,0.6147479307750182,0.6310206072430189,0.7765917367826194,0.6292215080093873,0.8853966415749857,0.6076680340801514,0.28595317725752667,0.6912165848336063,0.3248031496062995,0.3927323549965055
2010/05/06,0.743416102332581,0.7057675893183759,0.6933316589225169,0.7389041934496478,0.8790272148233932,0.6677500788892392,0.38795986622073714,0.7105837424986359,0.44685039370078755,0.471698113207547
2010/05/07,0.7389014296463495,0.6950981587611266,0.6673782912637616,0.8102234465870833,0.8772669368847711,0.6874092773745664,0.5016722408026643,0.7067648663393347,0.5177165354330704,0.4626135569531795
2010/05/10,0.5996990218209174,0.6418729423241066,0.740173301519528,0.6985001530456078,0.8725883034163289,0.6380246134427262,0.5033444816053508,0.6702127659574468,0.4050196850393702,0.35080363382250157
2010/05/11,0.5613243039879612,0.6961346177295451,0.7171920130604044,0.7113559840832574,0.871453387376954,0.6483748816661403,0.5033444816053508,0.6767594108019639,0.4202755905511808,0.34870719776380127
2010/05/12,0.5658389766741909,0.7242409462260699,0.7230105906484153,0.7554331190694832,0.8802084539664158,0.6735878826128118,0.535117056856187,0.7160392798690676,0.461122047244094,0.32669461914744885
2010/05/13,0.5267118133935281,0.7523472747225948,0.7102432081711249,0.8476686052443627,0.8912565141864504,0.6447775323445881,0.5334448160535006,0.6933987997817784,0.39517716535433084,0.29734451432564607
2010/05/14,0.6734386756960116,0.821607121082795,0.6793503286031228,0.8966431996735029,0.9285002895193979,0.6892079520353426,0.5551839464882918,0.7274959083469725,0.3966535433070865,0.3770090845562539
2010/05/17,0.719337848006019,0.8583709303743448,0.6849177445686299,0.9788797061524344,0.9482802547770701,0.7514042284632374,0.8829431438126998,0.8226950354609931,0.5103346456692909,0.42662473794549205
2010/05/18,0.6629044394281405,0.8345933422753323,0.7051362551802085,0.9541883481277421,0.936745801968732,0.7540549069106971,0.7993311036789225,0.8019639934533552,0.47539370078740156,0.38225017470300465
2010/05/19,0.8021068472535744,0.851237653944641,0.6479551257901127,0.9982654831139679,0.9884887087434855,0.9040391290627957,0.8494983277591918,0.9596290234588108,0.563976377952756,0.4986023759608664
2010/05/20,0.9104589917231,0.8299597610047557,0.6021181296831178,1.0,0.9738737695425594,0.9630167245187758,0.8829431438126998,0.9645390070921989,0.7071850393700785,0.5649895178197062
2010/05/21,0.8434913468773504,0.7497866113888552,0.6057181129390097,0.9401081522293651,0.9703068905616675,0.94143262858946,0.9030100334448046,0.9039825422804143,0.7106299212598425,0.5132774283717678
2010/05/25,1.0,0.8665406657724669,0.5933274728954747,0.9961228446076937,0.9952287203242618,1.0,0.862876254180595,0.9899072558647026,0.9936023622047246,0.5719776380153734
2010/05/26,0.9044394281414586,0.8886721131569324,0.6088576332203108,0.9728599122538517,0.9971048060220036,0.9441148627327229,0.5936454849498297,0.9866339334424438,1.0,0.5185185185185185
2010/05/27,0.7878103837471785,0.8300816973539815,0.627862195989786,0.8907254361799816,0.9730862767805444,0.8646576207005362,0.6622073578595322,0.8925259138025092,0.8533464566929134,0.471698113207547
